Probabilidad		F(p)
0.000000		0.000000
0.020000		0.000000
0.040000		0.000000
0.060000		0.000037
0.080000		0.000296
0.100000		0.000667
0.120000		0.001370
0.140000		0.002593
0.160000		0.003852
0.180000		0.005630
0.200000		0.009815
0.220000		0.014222
0.240000		0.020370
0.260000		0.028630
0.280000		0.035370
0.300000		0.051741
0.320000		0.066593
0.340000		0.083778
0.360000		0.101852
0.380000		0.128852
0.400000		0.157111
0.420000		0.186519
0.440000		0.222815
0.460000		0.252704
0.480000		0.300519
0.500000		0.335815
0.520000		0.385111
0.540000		0.429148
0.560000		0.475000
0.580000		0.527148
0.600000		0.575852
0.620000		0.620778
0.640000		0.665704
0.660000		0.713926
0.680000		0.750667
0.700000		0.797259
0.720000		0.831148
0.740000		0.866259
0.760000		0.892296
0.780000		0.918667
0.800000		0.941519
0.820000		0.958000
0.840000		0.969556
0.860000		0.982148
0.880000		0.990222
0.900000		0.994630
0.920000		0.997704
0.940000		0.999444
0.960000		0.999852
0.980000		1.000000
