Probabilidad		F(p)
0.000000		0.000000
0.020000		0.000000
0.040000		0.000000
0.060000		0.000000
0.080000		0.000000
0.100000		0.000000
0.120000		0.000000
0.140000		0.000000
0.160000		0.000000
0.180000		0.000000
0.200000		0.000000
0.220000		0.000000
0.240000		0.000000
0.260000		0.000000
0.280000		0.000000
0.300000		0.000000
0.320000		0.000000
0.340000		0.000000
0.360000		0.000000
0.380000		0.000000
0.400000		0.000000
0.420000		0.000000
0.440000		0.000148
0.460000		0.000889
0.480000		0.003148
0.500000		0.011259
0.520000		0.034222
0.540000		0.088667
0.560000		0.194889
0.580000		0.363481
0.600000		0.564778
0.620000		0.759667
0.640000		0.879593
0.660000		0.955407
0.680000		0.985148
0.700000		0.995556
0.720000		0.999185
0.740000		0.999852
0.760000		0.999963
0.780000		1.000000
0.800000		1.000000
0.820000		1.000000
0.840000		1.000000
0.860000		1.000000
0.880000		1.000000
0.900000		1.000000
0.920000		1.000000
0.940000		1.000000
0.960000		1.000000
0.980000		1.000000
