Proba		Pinf
0.450000		0.000000
0.455000		0.000000
0.460000		0.000000
0.465000		0.000000
0.470000		0.000000
0.475000		0.000000
0.480000		0.000000
0.485000		0.000000
0.490000		0.000000
0.495000		0.000017
0.500000		0.000008
0.505000		0.000026
0.510000		0.000058
0.515000		0.000108
0.520000		0.000212
0.525000		0.000461
0.530000		0.000791
0.535000		0.001436
0.540000		0.002624
0.545000		0.004550
0.550000		0.007566
0.555000		0.012100
0.560000		0.018824
0.565000		0.029471
0.570000		0.043629
0.575000		0.063246
0.580000		0.088891
0.585000		0.119552
0.590000		0.154550
0.595000		0.197016
0.600000		0.239320
0.605000		0.288464
0.610000		0.335062
0.615000		0.380506
0.620000		0.420345
0.625000		0.458562
0.630000		0.490381
0.635000		0.517864
0.640000		0.542615
0.645000		0.561663
0.650000		0.579784
0.655000		0.594632
0.660000		0.608131
0.665000		0.618773
0.670000		0.629775
0.675000		0.639189
0.680000		0.648187
0.685000		0.656481
0.690000		0.664651
0.695000		0.672247
