Proba		Pinf
0.360000		0.000069
0.366800		0.000054
0.373600		0.000133
0.380400		0.000167
0.387200		0.000269
0.394000		0.000188
0.400800		0.000477
0.407600		0.000736
0.414400		0.000816
0.421200		0.001226
0.428000		0.001494
0.434800		0.002213
0.441600		0.003010
0.448400		0.003977
0.455200		0.004790
0.462000		0.006442
0.468800		0.008470
0.475600		0.010467
0.482400		0.013572
0.489200		0.016533
0.496000		0.021424
0.502800		0.026489
0.509600		0.033667
0.516400		0.041089
0.523200		0.049476
0.530000		0.059356
0.536800		0.070143
0.543600		0.083230
0.550400		0.098800
0.557200		0.112905
0.564000		0.134283
0.570800		0.152198
0.577600		0.172820
0.584400		0.197373
0.591200		0.220873
0.598000		0.247105
0.604800		0.273866
0.611600		0.301352
0.618400		0.328351
0.625200		0.354110
0.632000		0.386288
0.638800		0.413470
0.645600		0.438319
0.652400		0.467123
0.659200		0.491160
0.666000		0.518674
0.672800		0.541767
0.679600		0.564819
0.686400		0.586048
0.693200		0.602995
