Proba		Pinf
0.500000		0.000000
0.504000		0.000000
0.508000		0.000000
0.512000		0.000000
0.516000		0.000000
0.520000		0.000000
0.524000		0.000000
0.528000		0.000000
0.532000		0.000000
0.536000		0.000000
0.540000		0.000000
0.544000		0.000000
0.548000		0.000000
0.552000		0.000000
0.556000		0.000002
0.560000		0.000015
0.564000		0.000057
0.568000		0.000308
0.572000		0.001055
0.576000		0.003930
0.580000		0.011960
0.584000		0.031617
0.588000		0.070796
0.592000		0.135703
0.596000		0.218948
0.600000		0.305850
0.604000		0.382453
0.608000		0.439744
0.612000		0.480479
0.616000		0.508585
0.620000		0.528783
0.624000		0.545075
0.628000		0.558647
0.632000		0.570427
0.636000		0.580766
0.640000		0.590287
0.644000		0.599034
0.648000		0.607168
0.652000		0.614848
0.656000		0.622111
0.660000		0.629002
0.664000		0.635615
0.668000		0.641943
0.672000		0.648029
0.676000		0.653932
0.680000		0.659681
0.684000		0.665238
0.688000		0.670681
0.692000		0.676005
0.696000		0.681203
