Proba		Pinf
0.400000		0.000000
0.406000		0.000000
0.412000		0.000000
0.418000		0.000000
0.424000		0.000000
0.430000		0.000009
0.436000		0.000011
0.442000		0.000021
0.448000		0.000038
0.454000		0.000040
0.460000		0.000108
0.466000		0.000208
0.472000		0.000289
0.478000		0.000525
0.484000		0.000658
0.490000		0.001156
0.496000		0.001556
0.502000		0.002548
0.508000		0.003823
0.514000		0.005404
0.520000		0.007879
0.526000		0.011207
0.532000		0.015961
0.538000		0.021314
0.544000		0.028805
0.550000		0.038439
0.556000		0.052356
0.562000		0.068196
0.568000		0.084709
0.574000		0.105873
0.580000		0.132547
0.586000		0.158378
0.592000		0.189710
0.598000		0.223488
0.604000		0.256862
0.610000		0.291591
0.616000		0.333036
0.622000		0.366615
0.628000		0.400667
0.634000		0.434594
0.640000		0.468115
0.646000		0.496470
0.652000		0.525543
0.658000		0.548569
0.664000		0.570447
0.670000		0.590400
0.676000		0.609477
0.682000		0.624205
0.688000		0.638830
0.694000		0.652358
