Proba		Pinf
0.450000		0.000000
0.455000		0.000000
0.460000		0.000000
0.465000		0.000000
0.470000		0.000000
0.475000		0.000000
0.480000		0.000000
0.485000		0.000000
0.490000		0.000000
0.495000		0.000000
0.500000		0.000000
0.505000		0.000000
0.510000		0.000000
0.515000		0.000000
0.520000		0.000003
0.525000		0.000000
0.530000		0.000004
0.535000		0.000004
0.540000		0.000022
0.545000		0.000078
0.550000		0.000262
0.555000		0.000577
0.560000		0.001703
0.565000		0.004625
0.570000		0.010775
0.575000		0.022980
0.580000		0.044313
0.585000		0.079492
0.590000		0.128683
0.595000		0.194356
0.600000		0.262688
0.605000		0.334116
0.610000		0.398339
0.615000		0.448848
0.620000		0.489821
0.625000		0.521338
0.630000		0.544571
0.635000		0.563118
0.640000		0.578221
0.645000		0.591275
0.650000		0.603002
0.655000		0.613554
0.660000		0.623160
0.665000		0.632205
0.670000		0.640641
0.675000		0.648668
0.680000		0.656339
0.685000		0.663619
0.690000		0.670770
0.695000		0.677555
