Probabilidad		Pinf
0.000000		0.000000
0.020000		0.000000
0.040000		0.000000
0.060000		0.000000
0.080000		0.000000
0.100000		0.000000
0.120000		0.000000
0.140000		0.000000
0.160000		0.000000
0.180000		0.000000
0.200000		0.000000
0.220000		0.000000
0.240000		0.000000
0.260000		0.000000
0.280000		0.000000
0.300000		0.000000
0.320000		0.000013
0.340000		0.000005
0.360000		0.000078
0.380000		0.000158
0.400000		0.000501
0.420000		0.001212
0.440000		0.002862
0.460000		0.006412
0.480000		0.012211
0.500000		0.024205
0.520000		0.043812
0.540000		0.075623
0.560000		0.122021
0.580000		0.182076
0.600000		0.254549
0.620000		0.333124
0.640000		0.419698
0.660000		0.497928
0.680000		0.565980
0.700000		0.624403
0.720000		0.670723
0.740000		0.708715
0.760000		0.739722
0.780000		0.767131
0.800000		0.791680
0.820000		0.814750
0.840000		0.836607
0.860000		0.858105
0.880000		0.878907
0.900000		0.899366
0.920000		0.919807
0.940000		0.939840
0.960000		0.959984
0.980000		0.980033
